dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1704067200,2024-01-01 00:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.58,9999,5.33,5.05,7.89,9.11,995,,,80,7.2,240,0,,,,,75,803,Clouds,broken clouds,04n
1704070800,2024-01-01 01:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.34,9999,5.1,4.59,7.84,9.6,996,,,80,7.72,250,,,,,,75,803,Clouds,broken clouds,04n
1704074400,2024-01-01 02:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.21,9999,4.79,4.58,7.33,9.05,997,,,79,7.2,250,0,,,,,75,803,Clouds,broken clouds,04n
1704078000,2024-01-01 03:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.33,9999,4.72,4.73,7.89,9.05,998,,,78,7.2,250,0,,,,,100,804,Clouds,overcast clouds,04n
1704081600,2024-01-01 04:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.61,9999,4.44,5.41,7.9,9.6,999,,,75,6.2,250,0,,,,,100,804,Clouds,overcast clouds,04n
1704085200,2024-01-01 05:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.34,9999,4.36,5.67,7.33,9.05,1000,,,76,4.63,250,,,,,,75,500,Rain,light rain,10n
1704088800,2024-01-01 06:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,8.08,9999,4.11,4.91,6.78,8.49,1001,,,76,5.7,240,0,,,,,75,803,Clouds,broken clouds,04n
1704092400,2024-01-01 07:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,7.61,9999,4.02,4.32,6.73,7.95,1002,,,78,5.7,240,0,,,,,0,800,Clear,sky is clear,01n
1704096000,2024-01-01 08:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,7.17,9999,3.96,3.76,6.49,7.94,1003,,,80,5.7,240,0,,,,,0,800,Clear,sky is clear,01n
1704099600,2024-01-01 09:00:00 +0000 UTC,0,Custom location,51.5073,-0.122223,7.17,9999,3.78,3.58,6.49,7.95,1004,,,79,6.2,250,0,,,,,0,800,Clear,sky is clear,01d
